company_id,company,industry,confidence,reason,postings,example_titles,example_roles,example_queries
40,Access Data Consulting Corporation,Technology,high,Data analyst roles indicate a tech focus.,1,Data Analyst,Business Intelligence,data analyst
41,Acclaim Technical Services,Government / Public Sector,high,Cyber operations for federal agencies indicates public sector.,2,Geospatial Analyst/Database Developer with Security Clearance; Geospatial Analyst/Database Developer,Database Role,database analyst
42,Accommodations Plus International,Technology,high,Data & Reporting Analyst roles indicate a tech focus.,1,Data & Reporting Analyst,Reporting Analyst,reporting analyst
43,Accylerate,Technology,high,Business Analyst roles indicate a tech focus.,1,Business Analyst,Business Analyst,business analyst
44,"Ace Technologies, Inc.",Technology,high,Data Engineer roles indicate a tech focus.,1,Data Engineer,Data Engineer,data engineer
45,Acrisure,Technology,high,Marketing analytics in tech context suggests industry.,1,Marketing Analytics Manager,Analytics Manager,analytics manager
46,Actalent,Consulting / Professional Services,high,Operations analyst in energy conservation indicates consulting.,1,Operations Analyst,Operations Analyst,operations analyst
47,Acuity Knowledge Partners  Inc.,Finance & Insurance,high,Data Engineer in financial services suggests finance.,1,Data Engineer,Data Engineer,data engineer
48,"Adecco US, Inc.",Finance & Insurance,high,Financial Analyst role suggests finance industry.,3,Financial Analyst,Financial Analyst,financial analyst
49,Adient,Manufacturing,high,IT roles in manufacturing context suggest industry.,1,IT Database Admin/Analyst,Database Role,database analyst
50,AdientOne LLC,Technology,high,Business Analyst roles indicate a tech focus.,1,Business Analyst,Business Analyst,business analyst
51,Aditi Consulting,Consulting / Professional Services,high,IT consulting and data analysis services.,2,Data Analyst; Senior Data Scientist,Data Analyst; Data Scientist,data analyst; data scientist
52,Adswerve,Consulting / Professional Services,high,Data and media consultancy for brands.,1,MarTech Product Analyst,Product Analyst,product analyst
53,Adtech,Government / Public Sector,high,Works with U.S. Customs and Border Protection.,1,Data Scientist,Data Scientist,data scientist
54,Advanced Software Talent,Technology,high,Focus on IT and software development.,1,Data Scientist II,Data Scientist,data scientist
55,Advantage Tech,Technology,high,IT services and data engineering.,1,Sr. Data Engineer,Data Engineer,data engineer
56,"Advent Global Solutions, Inc.",Technology,high,Business intelligence and IT services.,1,Business Intelligence Developer,Business Intelligence,business intelligence
57,Affinity Development Group,Technology,high,Software engineering and IT roles.,2,Software Engineer II; Software Engineer,Other Data/Analytics Role,database analyst
58,Affirm,Finance & Insurance,high,Reinventing credit and financial services.,1,"Analytics Manager, Consumer Analytics",Analytics Manager,analytics manager
59,Affordable Care,Healthcare,high,Dental support organization.,2,Senior Pricing and Product Analyst,Product Analyst,product analyst
60,Agil3 Technology Solutions,Technology,high,IT and cybersecurity services.,1,Database Vulnerability Analyst,Database Role,database analyst
61,AgreeYa Solutions,Technology,high,Data science and engineering roles.,2,Data Scientist III; L2 Data Engineer,Data Scientist; Data Engineer,data scientist; data engineer
62,Air Apps,Technology,high,Product development in IT.,1,Product Analyst,Product Analyst,product analyst
63,Akidev Corporation,Finance & Insurance,high,Insurance domain data analysis.,1,Data Analyst,Data Analyst,data analyst
64,Akin,Consulting / Professional Services,high,Legal consulting and business development.,2,Senior Business Development Manager; Business Development Manager,Other Data/Analytics Role,market research analyst
65,Alchemy Software Solutions LLC,Retail / E-commerce,medium,Data engineering in retail domain.,1,Junior Data Engineer Data Engineering,Data Engineer,data engineer
66,AllSTEM Connections,Technology,high,IT consulting and data analysis.,1,Data Analyst,Data Analyst,data analyst
67,Alpha Business Solutions,Technology,high,Business analysis in IT.,1,Business Analyst,Business Analyst,business analyst
68,Alpha Omega Integration LLC,Government / Public Sector,high,Supports DHS and public sector projects.,2,Business Analyst,Business Analyst,business analyst
69,Altitude Technology Solutions Inc,Technology,high,BI and analytics management.,2,BI & Analytics Manager,Analytics Manager,analytics manager
70,"AmTrust Financial Services, Inc.",Finance & Insurance,high,Insurance product analysis.,1,Product Analyst Intern,Product Analyst,product analyst
71,Amazon,Technology,high,Data engineering and analytics.,23,"Data Engineer, Analytics & Data Engineering with Security Clearance; Insights and Analytics Manager, Reputation & Content Strategy; Vendor/Buyer Manager, Amazon Fresh Grocery; Sr. Worldwide Partner Specialist",Data Engineer; Analytics Manager; Market Research Analyst; Other Data/Analytics Role,data engineer; analytics manager; market research analyst; operations analyst
72,Amentum,Government / Public Sector,high,Operations support for military systems.,1,Operations analyst with Security Clearance,Operations Analyst,operations analyst
73,American Air Filter International,Manufacturing,high,Clean air solutions manufacturing.,1,Market Research Analyst Specialist,Market Research Analyst,market research analyst
74,American Association Of Motor Vehicle Admin.,Government / Public Sector,high,Supports motor vehicle administration.,1,Business Analyst,Business Analyst,business analyst
75,American Business Forms,Finance & Insurance,high,Financial reporting and analysis.,1,Financial Reporting Analyst,Financial Analyst,reporting analyst
76,"American Express Travel Related Services Company, Inc.",Finance & Insurance,high,Data engineering in financial services.,1,Data Engineers,Data Engineer,data engineer
77,American Homes 4 Rent,Real Estate,high,Single-family rental management.,1,Product Analyst,Product Analyst,product analyst
78,American Integrity Insurance Company,Finance & Insurance,high,Homeowners insurance provider.,1,Product Analyst,Product Analyst,product analyst
79,American Veterinary Group,Healthcare,high,Veterinary care support services.,1,Marketing Analytics Manager,Analytics Manager,analytics manager
80,Amiri,Retail / E-commerce,high,Retail analytics and decision-making.,1,Data & Commercial Analytics Manager,Analytics Manager,analytics manager
81,Amiseq Inc.,Finance & Insurance,high,Financial analysis and reporting.,1,Financial Analyst,Financial Analyst,financial analyst
82,Amplifon,Retail / E-commerce,high,Marketing analytics in retail.,1,Marketing Analytics Manager,Analytics Manager,analytics manager
83,Amrize,Consulting / Professional Services,high,Operations support in various sectors.,1,ITSM Operations Analyst,Operations Analyst,operations analyst
84,Amtex Enterprises,Energy / Utilities,high,Data analysis in energy sector.,1,Data Analyst,Data Analyst,data analyst
85,Analytic Recruiting Inc.,Finance & Insurance,high,Marketing analytics for financial services.,1,"Data Scientist, Marketing",Data Scientist,data scientist
86,Anchor Point Management Group,Consulting / Professional Services,high,Management support across sectors.,1,Operations Analyst,Operations Analyst,operations analyst
87,Apar Technologies,Technology,high,Data science in IT.,1,Data Scientist,Data Scientist,data scientist
88,Apex Systems,Technology,high,Data analysis across multiple sectors.,27,Data Analyst; Healthcare Data Analyst; Data Analyst Senior; CRM Data Analyst,Data Analyst; Data Scientist; Business Analyst; Data Engineer,data analyst; data scientist; business analyst; data engineer
89,Apexon,Technology,high,Digital technology services.,1,Data Engineer,Data Engineer,data engineer
90,AppleOne,Finance & Insurance,high,Investment-focused financial analysis.,1,Chartered Financial Analyst,Financial Analyst,financial analyst
91,"Aptino, Inc.",Technology,high,Telecom data analysis.,1,Data Analyst,Data Analyst,data analyst
92,Aquirant,Technology,high,Database development in IT.,1,SQL Server Database Developer/Programmer Analyst,Database Role,database analyst
93,Aramark,Healthcare,high,Operations finance in healthcare.,1,Operations Finance Analyst- Vanderbilt MCE,Operations Analyst,operations analyst
94,"Arbor Research & Trading, LLC",Finance & Insurance,high,Economic research for investors.,1,Research Data Analyst,Data Analyst,data analyst
95,Archer,Other / Unknown,high,Aerospace technology and analytics.,1,People Analytics Manager,Analytics Manager,analytics manager
96,Arizona 811,Other / Unknown,medium,Creative roles in a nonprofit context.,1,Data Analyst,Other Data/Analytics Role,data analyst
97,"ArnAmy, Inc.",Technology,high,Data engineering in IT.,1,Data Engineer,Other Data/Analytics Role,data engineer
98,Arnex Solutions LLC,Technology,high,Business intelligence development.,1,Business Intelligence Developer- Operations,Business Intelligence,business intelligence
99,Aroha Technologies,Technology,high,Data science in marketing.,2,SR. DATA SCIENTIST; Data Scientist,Data Scientist,data scientist
100,"Arrow Electronics, Inc.",Finance & Insurance,high,Financial analysis in supply chain.,1,Financial Analyst III,Financial Analyst,financial analyst
101,"Artech, LLC",Technology,high,Focus on technology environments and applications.,1,Operations Analyst,Operations Analyst,operations analyst
102,Artemis Consultants,Finance & Insurance,high,Roles centered around financial analysis.,1,Financial Analyst,Financial Analyst,financial analyst
103,Arthur Lawrence,Technology,high,Involves data engineering and IT roles.,2,Data Engineer; Market Research Analyst,Data Engineer; Market Research Analyst,data engineer; market research analyst
104,Arvato Bertelsmann,Finance & Insurance,high,Financial analysis and operations roles.,2,Financial Analyst; Operations Analyst,Financial Analyst; Operations Analyst,financial analyst; operations analyst
105,Ascendum Solutions,Technology,high,Data engineering in a tech environment.,1,Senior Data Engineer,Data Engineer,data engineer
106,Aspire Health Partners,Healthcare,high,Focus on mental health and addiction services.,1,QUALITY DATA ANALYST,Data Analyst,data analyst
107,Asset Staffing,Finance & Insurance,high,Data analysis in an investment banking context.,1,Data Analyst,Data Analyst,data analyst
108,Associate Staffing,Technology,high,Data engineering in a data and analytics organization.,1,Data Engineer,Data Engineer,data engineer
109,Assurant,Finance & Insurance,high,Product analysis in insurance sector.,1,Product Analyst,Product Analyst,product analyst
110,Assured,Finance & Insurance,high,Modernizing insurance claims processing.,1,Staff Product Analyst,Product Analyst,product analyst
111,Aston Carter,Consulting / Professional Services,high,Financial analysis in a consulting environment.,6,Financial Analyst; Operations Analyst; Finance Operations Analyst; Senior Financial Reporting Analyst,Financial Analyst; Operations Analyst; Reporting Analyst,financial analyst; operations analyst; reporting analyst
112,Astrion,Government / Public Sector,high,Supports government customer projects.,1,"Journeyman Database Engr/Analyst, SSIO with Security Clearance",Database Role,database analyst
113,Atari,Media / Entertainment,high,Involves analytics in the gaming industry.,1,"Analytics Manager, Commercialization",Analytics Manager,analytics manager
114,"Atash Enterprises, LLC",Technology,high,Business analysis in IT systems.,1,Business Analyst,Business Analyst,business analyst
115,"Athena Technology Group, Inc.",Government / Public Sector,high,Focus on government IT consulting.,2,Database Management Analyst III with Security Clearance,Database Role,database analyst
116,Athenahealth,Healthcare,high,Operations analysis in healthcare services.,2,US Service Operations Analyst,Operations Analyst,operations analyst
117,"Atlanta, GA",Technology,high,Database migration in IT.,1,Database Migration Analyst 2,Database Role,database analyst
118,Atlantic Group,Finance & Insurance,high,Financial analysis in corporate functions.,1,Senior Financial Analyst,Financial Analyst,financial analyst
119,Atlassian,Technology,high,Data analytics in a software company.,1,"Senior Design Manager, AI",Other Data/Analytics Role,market research analyst
120,Attractivate LLC,Energy / Utilities,high,Data engineering in oil and gas.,1,Data Engineer,Data Engineer,data engineer
121,Auto Club Of Southern Calif,Finance & Insurance,high,Financial analysis in an insurance context.,1,Financial Analyst 3,Financial Analyst,financial analyst
122,AutoStore System,Technology,high,Product strategy in automation technology.,1,Product Strategist Director,Other Data/Analytics Role,market research analyst
123,Autodesk,Technology,high,Business analytics in software solutions.,1,Senior Business Analytics Manager,Analytics Manager,analytics manager
124,Avantiico,Technology,high,Business automation and Microsoft solutions.,1,Project Operations Analyst,Operations Analyst,operations analyst
125,Axos Bank,Finance & Insurance,high,Data analysis in banking.,1,Sr Data Analyst,Data Analyst,data analyst
126,BCforward,Technology,high,IT consulting and workforce solutions.,1,Data Engineer,Data Engineer,data engineer
127,BD,Healthcare,medium,Market research in healthcare products.,1,Market Research Analyst Intern,Market Research Analyst,market research analyst
128,BMO Financial Group,Finance & Insurance,high,Operations analysis in banking.,1,Operations Analyst,Operations Analyst,operations analyst
129,"BOOZ, ALLEN & HAMILTON, INC.",Consulting / Professional Services,high,Data science in consulting.,28,"Data Scientist, Senior; Data Scientist, Mid; Business Analyst, Senior; Data Engineer",Data Scientist; Business Analyst; Data Engineer; Operations Analyst,data scientist; business analyst; data engineer; operations analyst
130,"BWX Technologies, Inc.",Manufacturing,high,Financial reporting in manufacturing.,1,Financial Reporting Analyst,Reporting Analyst,reporting analyst
131,Ball Corporation,Finance & Insurance,high,Financial analysis in a corporate setting.,1,Financial Analyst,Financial Analyst,financial analyst
132,Ballston Spa National Bank,Finance & Insurance,high,Financial reporting in a community bank.,1,Financial Reporting Analyst,Financial Analyst,reporting analyst
133,Bandwidth,Technology,high,Product analysis in a software company.,1,Product Analyst,Product Analyst,product analyst
134,Bank of America,Finance & Insurance,high,Market research in financial services.,10,Global Research; Cyber Security Analyst,Market Research Analyst; Database Role,market research analyst; database analyst
135,Banner Life Insurance Company,Finance & Insurance,high,Product analysis in insurance.,1,Product Analyst,Product Analyst,product analyst
136,Banyan Global,Consulting / Professional Services,high,Market research in international development.,1,Analyst- Indo-Pacific Energy and Critical Minerals Definitional Mission,Market Research Analyst,market research analyst
137,Baptist Healthcare System,Healthcare,high,Database analysis in healthcare.,1,Functional Database Analyst- ERP System,Database Role,database analyst
138,BayOne Solutions,Technology,high,Operations analysis in IT.,1,Operation Analyst T3,Operations Analyst,operations analyst
139,Baylor College of Medicine,Healthcare,high,Data management in healthcare.,1,"Associate Director, Philanthropic Data Management and Analytics",Other Data/Analytics Role,database analyst
140,Beacon Health System,Healthcare,high,Data engineering in healthcare services.,1,Data Engineer,Data Engineer,data engineer
141,Beacon Hill,Technology,high,Data engineering in IT solutions.,1,Data Engineer,Data Engineer,data engineer
142,Becton Dickinson & Company,Healthcare,medium,Market research in medical devices.,1,Market Research Analyst Intern,Market Research Analyst,market research analyst
143,Becton Dickinson Medical Devices,Healthcare,medium,Market research in medical devices.,1,Market Research Analyst Intern,Market Research Analyst,market research analyst
144,"Belcan, LLC",Technology,high,Data science and business intelligence.,2,Data Scientist; Business Intelligence Analyst/Developer,Data Scientist; Business Intelligence,data scientist; business intelligence
145,Beneficial Reuse Management,Other / Unknown,medium,Environmental services company.,1,Business Analyst,Business Analyst,business analyst
146,Berger Communities,Media / Entertainment,medium,Marketing strategy in media.,1,Marketing Strategy and Analytics Manager,Analytics Manager,analytics manager
147,Berkadia,Finance & Insurance,high,Investment sales and analytics.,1,Associate Director,Other Data/Analytics Role,market research analyst
148,"Berkeley Research Group, LLC",Consulting / Professional Services,high,Financial analysis in consulting.,2,Senior Financial Analyst,Financial Analyst,financial analyst
149,"Best Doctors Insurance Services, Llc",Finance & Insurance,high,Financial reporting in insurance.,1,Financial Reporting Analyst,Financial Analyst,reporting analyst
150,Beth Israel Lahey Health,Healthcare,high,Marketing analytics in healthcare.,1,Marketing Analytics Manager,Analytics Manager,analytics manager
151,Beyond Feedback,Consulting / Professional Services,high,Focus on employee and customer feedback programs.,1,Client Data Analyst,Data Analyst,data analyst
152,Bill Brandt Ford Inc.,Retail / E-commerce,high,Automotive company providing services to customers.,1,Financial Analyst,Financial Analyst,financial analyst
153,Bio-Techne,Healthcare,high,Enabling research in Life Sciences and Clinical Diagnostics.,1,Financial Analyst,Financial Analyst,financial analyst
154,Blackstraw LLC,Technology,high,Specializing in AI and engineering solutions.,1,Lead Data Scientist,Data Scientist,data scientist
155,Blackwood Solutions,Finance & Insurance,high,Financial Analyst role in a corporate office.,1,Financial Analyst,Financial Analyst,financial analyst
156,Blue Rose Technologies LLC,Technology,high,Digital analytics in e-commerce environment.,1,Adobe Analytics Manager,Analytics Manager,analytics manager
157,BlueCross BlueShield of South Carolina,Healthcare,high,Largest insurance provider in South Carolina.,1,Data Analyst II,Data Analyst,data analyst
158,BlueLabs,Technology,high,Provider of analytics services and technology.,1,Analytics Manager II,Analytics Manager,analytics manager
159,BlueLabs Analytics,Technology,high,Leading provider of analytics services and technology.,1,Analytics Manager I,Analytics Manager,analytics manager
160,Bluebono,Real Estate,high,Specializing in private credit for real estate.,1,Business Analyst,Business Analyst,business analyst
161,Bluefin Payment Systems,Technology,high,Product Analyst role in payment systems.,1,Product Analyst,Product Analyst,product analyst
162,Boardwalk,Energy / Utilities,medium,Midstream natural gas transportation and storage.,1,Analyst Sr Application Developer,Other Data/Analytics Role,database analyst
163,Bombardier,Other / Unknown,high,Designing and maintaining aircraft.,1,Financial Analyst,Financial Analyst,financial analyst
164,Bonita Springs Utilities,Energy / Utilities,medium,Utilities company managing SQL databases.,1,Application Database Analyst,Database Role,database analyst
165,Booker DiMaio,Government / Public Sector,high,Requires security clearance for government contracts.,1,Database Business Analyst with Active Secret Security Clearance,Database Role,database analyst
166,"Booker DiMaio, LLC",Government / Public Sector,high,Requires security clearance for government contracts.,1,Database Business Analyst with Active Secret Security Clearance,Database Role,database analyst
167,Booz Allen Hamilton,Consulting / Professional Services,high,Data analysis for government and military clients.,88,Data Analyst; Mid Data Analyst; Data Scientist; Lead Data Scientist,Data Analyst; Financial Analyst; Data Scientist; Business Intelligence,data analyst; data scientist; business intelligence; data engineer
168,Boston Associate Software Systems,Technology,high,Data engineering and analytics in IT.,1,Data Analyst/Engineer,Data Engineer,data analyst
169,"Boston, MA",Technology,high,Product design and analytics in digital sales.,2,Product Designer; Product Analyst,Other Data/Analytics Role; Product Analyst,market research analyst; product analyst
170,Bow Wave LLC,Government / Public Sector,high,Data analysis for special operations division.,1,Program Management Specialist II,Data Analyst,database analyst
171,Bradesco Bank,Finance & Insurance,high,Product management in banking.,2,Loan Products Analyst; Product Analyst,Product Analyst,product analyst
172,Brains Technology Solution,Technology,high,Project coordination in technical product analysis.,1,Project Coordinator & Technical Product Analyst,Product Analyst,product analyst
173,"Brains Workgroup, Inc.",Finance & Insurance,high,Financial analysis in electronics manufacturing.,1,Financial Business Analyst,Financial Analyst,business analyst
174,Bridge Energy,Energy / Utilities,high,Energy data analysis for clients.,1,Energy Data Analyst,Data Analyst,data analyst
175,Bridgeport Financial Technology,Finance & Insurance,high,Operations analyst in financial technology.,1,Operations Analyst,Operations Analyst,operations analyst
176,Brightwing,Consulting / Professional Services,medium,Operations support and analysis.,1,Operations Analyst,Operations Analyst,operations analyst
177,Brilliant Infotech Inc.,Technology,high,Data science in AI/ML solutions.,1,Data Scientist,Data Scientist,data scientist
178,Brooksource,Technology,high,Data analysis for utilities and operations.,5,Data Analyst; Data Analyst IV; Junior Data Scientist; Lead Data Scientist,Data Analyst; Data Engineer; Data Scientist; Business Analyst,data analyst; data scientist; business analyst
179,"Buffalo Grove, IL",Finance & Insurance,high,Financial reporting in supply chain finance.,1,Financial Reporting Analyst,Financial Analyst,reporting analyst
180,Burlington,Retail / E-commerce,high,Financial analysis in retail operations.,1,Financial Analyst,Financial Analyst,financial analyst
181,Butler,Education,medium,Market research for educational programs.,1,Student,Market Research Analyst,market research analyst
182,C2 GPS—Workforce Solutions Greater Dallas,Government / Public Sector,medium,Reporting analyst for workforce solutions.,1,Reporting Analyst,Reporting Analyst,reporting analyst
183,C4 Technical Services,Technology,high,Data visualization and analytics in IT.,3,PowerBI Data Analyst; Business Analyst; Data Engineer,Data Analyst; Business Analyst; Data Engineer,data analyst; business analyst; data engineer
184,CACI,Government / Public Sector,high,Operations analyst with security clearance.,1,Operations Analyst with Security Clearance,Operations Analyst,operations analyst
185,CACI International,Consulting / Professional Services,high,Program operations analysis for government contracts.,1,Program Operations Analyst,Operations Analyst,operations analyst
186,CAI,Finance & Insurance,high,Financial data analysis in a global firm.,1,Financial Data Analyst,Financial Analyst,data analyst
187,CAYS Inc,Technology,high,Data engineering in enterprise solutions.,1,Data Engineer,Data Engineer,data engineer
188,CBRE,Real Estate,high,Data analysis for property management.,2,Data Analyst,Data Analyst,data analyst
189,CELESTAR CORPORATION,Government / Public Sector,high,Support for U.S. Army intelligence operations.,4,Mid-level HUMINT Targeting Cell Support; Mid-level CI Targeting Cell Support,Other Data/Analytics Role,database analyst
190,CGI,Government / Public Sector,high,Database support for Army contracts.,1,Database Team Lead (Advanced Database Analyst/Programmer,Database Role,database analyst
191,"CGI Technologies and Solutions, Inc.",Finance & Insurance,high,Financial and product analysis in various sectors.,4,Financial Analyst; Senior Product Analyst; Database Team Lead,Financial Analyst; Product Analyst; Database Role,financial analyst; product analyst; database analyst
192,CHAMP,Technology,high,Innovative software for motor vehicle agencies.,1,Market Intelligence Analyst,Market Research Analyst,market research analyst
193,CHRISTUS Health,Healthcare,high,Data analysis in healthcare and nursing.,5,Information Technology Data Analyst Lead; Licensed Vocational Nurse Clinical Data Analyst II; Financial Analyst II; Financial Analyst I,Data Analyst; Financial Analyst,data analyst; financial analyst
194,CHS Inc.,Consulting / Professional Services,high,Market research in agribusiness.,1,Research Analyst,Market Research Analyst,market research analyst
195,CONAGRA,Other / Unknown,high,Financial analysis in food production.,2,"Associate Financial Analyst; Financial Analyst, Plant Accounting",Financial Analyst,financial analyst
196,COOLSOFT,Technology,high,Business intelligence in Medicaid data management.,1,Business Intelligence Administrator,Other Data/Analytics Role,business intelligence
197,COUNTRY Financial,Finance & Insurance,high,Product analysis in financial services.,1,Product Analyst,Product Analyst,product analyst
198,CSL Behring,Healthcare,high,Analytics management in pharmaceutical R&D.,1,"Senior Manager, Portfolio Insights & Analytics",Analytics Manager,analytics manager
199,CSS LLC,Finance & Insurance,high,Operations analysis in investment firm.,1,Operations Analyst,Operations Analyst,operations analyst
200,CTG,Technology,high,Product management in IT.,1,Product Analyst,Product Analyst,product analyst
201,CUNY,Education,high,Public university focused on advanced teaching and research.,2,Financial Analyst; Finance Reporting Analyst,Financial Analyst; Reporting Analyst,financial analyst; reporting analyst
202,CVS Health,Healthcare,high,Health and wellness services provider.,3,Store Brands Business Analytics Manager; Health & Wellness Category Specialist; Senior Product Analyst,Analytics Manager; Other Data/Analytics Role; Product Analyst,analytics manager; market research analyst; product analyst
203,CWA Recruiting,Finance & Insurance,high,Insurance industry product development.,1,Personal Lines Product Analyst,Product Analyst,product analyst
204,"CX DATA LABS, LLC",Technology,high,AI-driven data solutions provider.,1,AI Data Engineer,Data Engineer,data engineer
205,CXI Staffing,Transportation / Logistics,medium,Transit data analysis role.,2,Transit Data Analyst; Business Analyst,Data Analyst; Business Analyst,data analyst; business analyst
206,Cache Creek Casino Resort,Hospitality,high,Casino resort focused on guest experience.,2,Database Marketing Analyst; Senior Database Marketing Analyst,Market Research Analyst,database analyst
207,CalPortland,Other / Unknown,medium,Manufacturing company with IT roles.,1,Senior IT HCM Business Systems Analyst,Business Analyst,business analyst
208,Calculated Hire,Other / Unknown,medium,General IT roles in various sectors.,1,Business Analyst,Business Analyst,business analyst
209,Calibrate,Other / Unknown,medium,IP law firm with analytics roles.,1,Reporting Analytics Manager,Analytics Manager,analytics manager
210,"California SoftTech, Inc.",Technology,high,Data engineering in cloud environments.,1,Data Engineer,Data Engineer,data engineer
211,Calpion/Plutus Health,Healthcare,high,Revenue cycle management for healthcare providers.,1,Head of Marketing,Other Data/Analytics Role,market research analyst
212,Cambridge Associates,Finance & Insurance,high,Investment firm managing client portfolios.,1,"Analyst, Data Operations",Data Analyst,database analyst
213,"Campbell & Company, LP",Finance & Insurance,high,Operations in trading and finance.,1,Operations Analyst,Operations Analyst,operations analyst
